Nh,BOOK,"(0, 1)","(1, 2)",﻿,《军阀治世》,"['\ufeff', '《军阀治世》']",军阀治世.txt
Nh,Nh,"(35, 36)","(41, 42)",弗朗,弗朗,"['“', '再', '走', '一天', '的', '时间', '，', '我们', '就', '能', '堵', '在', '到', '日本', '的', '航线', '上', '，', '东番', '岛上', '的', '红夷人', '和', '郑一官', '每年', '都', '要', '走', '这条', '海路', '，', '由于', '日本', '不', '允许', '弗朗', '机人', '前去', '日本', '贸易', '，', '弗朗', '机人', '的', '货物', '都', '由', '郑一官', '转运', '，', '现在', '已经', '入夏', '。']",军阀治世.txt
Ns,Nh,"(38, 39)","(41, 42)",日本,弗朗,"['“', '再', '走', '一天', '的', '时间', '，', '我们', '就', '能', '堵', '在', '到', '日本', '的', '航线', '上', '，', '东番', '岛上', '的', '红夷人', '和', '郑一官', '每年', '都', '要', '走', '这条', '海路', '，', '由于', '日本', '不', '允许', '弗朗', '机人', '前去', '日本', '贸易', '，', '弗朗', '机人', '的', '货物', '都', '由', '郑一官', '转运', '，', '现在', '已经', '入夏', '。']",军阀治世.txt
Nh,Nh,"(41, 42)","(47, 48)",弗朗,郑一官,"['“', '再', '走', '一天', '的', '时间', '，', '我们', '就', '能', '堵', '在', '到', '日本', '的', '航线', '上', '，', '东番', '岛上', '的', '红夷人', '和', '郑一官', '每年', '都', '要', '走', '这条', '海路', '，', '由于', '日本', '不', '允许', '弗朗', '机人', '前去', '日本', '贸易', '，', '弗朗', '机人', '的', '货物', '都', '由', '郑一官', '转运', '，', '现在', '已经', '入夏', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(7, 8)",文邦良,颜思齐,"['文邦良', '从前', '是', '二十八', '兄弟', '盟', '盟主', '颜思齐', '的', '幕僚', '之一', '，', '后来', '颜思齐', '突然', '暴毙', '身亡', '，', '郑芝龙', '迎娶', '颜思齐', '的', '妹妹', '登上', '盟主', '之位', '，', '同时', '吞并', '了', '颜思齐', '的', '势力', '，', '他', '因', '反对', '郑芝龙', '的', '缘故', '被', '排挤', '得', '走投无路', '回乡', '下当', '小地主', '去', '了', '。']",军阀治世.txt
Nh,Nh,"(18, 19)","(20, 21)",郑芝龙,颜思齐,"['文邦良', '从前', '是', '二十八', '兄弟', '盟', '盟主', '颜思齐', '的', '幕僚', '之一', '，', '后来', '颜思齐', '突然', '暴毙', '身亡', '，', '郑芝龙', '迎娶', '颜思齐', '的', '妹妹', '登上', '盟主', '之位', '，', '同时', '吞并', '了', '颜思齐', '的', '势力', '，', '他', '因', '反对', '郑芝龙', '的', '缘故', '被', '排挤', '得', '走投无路', '回乡', '下当', '小地主', '去', '了', '。']",军阀治世.txt
Nh,Nh,"(30, 31)","(37, 38)",颜思齐,郑芝龙,"['文邦良', '从前', '是', '二十八', '兄弟', '盟', '盟主', '颜思齐', '的', '幕僚', '之一', '，', '后来', '颜思齐', '突然', '暴毙', '身亡', '，', '郑芝龙', '迎娶', '颜思齐', '的', '妹妹', '登上', '盟主', '之位', '，', '同时', '吞并', '了', '颜思齐', '的', '势力', '，', '他', '因', '反对', '郑芝龙', '的', '缘故', '被', '排挤', '得', '走投无路', '回乡', '下当', '小地主', '去', '了', '。']",军阀治世.txt
Nh,Nh,"(15, 16)","(21, 22)",郑芝龙,郑芝龙,"['到', '了', '山东', '文邦', '良才', '知道', '，', '他', '所', '投奔', '的', '是', '一个', '军力', '不亚于', '郑芝龙', '的', '军事', '集团', '，', '只不过', '郑芝龙', '的', '力量', '主要', '集中', '在', '海洋', '，', '山东', '总兵', '赵岩', '的', '力量', '主要', '体现', '在', '陆上', '。']",军阀治世.txt
Ns,Nh,"(29, 30)","(31, 32)",山东,赵岩,"['到', '了', '山东', '文邦', '良才', '知道', '，', '他', '所', '投奔', '的', '是', '一个', '军力', '不亚于', '郑芝龙', '的', '军事', '集团', '，', '只不过', '郑芝龙', '的', '力量', '主要', '集中', '在', '海洋', '，', '山东', '总兵', '赵岩', '的', '力量', '主要', '体现', '在', '陆上', '。']",军阀治世.txt
Nh,Nh,"(5, 6)","(8, 9)",赵岩,郑一官,"['但', '身为', '登莱', '总兵', '的', '赵岩', '显然', '比', '郑一官', '更', '有', '发展潜力', '，', '登莱有', '郑一官', '所', '不', '具备', '的', '先进', '火炮', '，', '并且', '火炮', '威力', '已经', '达到', '了', '红夷人', '、', '弗朗', '机人', '都', '无法', '相比', '的', '程度', '。']",军阀治世.txt
Nh,Nh,"(8, 9)","(14, 15)",郑一官,郑一官,"['但', '身为', '登莱', '总兵', '的', '赵岩', '显然', '比', '郑一官', '更', '有', '发展潜力', '，', '登莱有', '郑一官', '所', '不', '具备', '的', '先进', '火炮', '，', '并且', '火炮', '威力', '已经', '达到', '了', '红夷人', '、', '弗朗', '机人', '都', '无法', '相比', '的', '程度', '。']",军阀治世.txt
Ns,Ns,"(2, 3)","(5, 6)",福建,金门,"['登莱兵', '直捣', '福建', '石井', '、', '金门', '等', '地', '，', '郑芝龙', '没', '了', '老巢', '，', '没', '了', '海贸', '的', '收入', '来源', '，', '必然', '会', '衰败', '下去', '。']",军阀治世.txt
Ns,Nh,"(2, 3)","(9, 10)",福建,郑芝龙,"['登莱兵', '直捣', '福建', '石井', '、', '金门', '等', '地', '，', '郑芝龙', '没', '了', '老巢', '，', '没', '了', '海贸', '的', '收入', '来源', '，', '必然', '会', '衰败', '下去', '。']",军阀治世.txt
Ns,Nh,"(5, 6)","(9, 10)",金门,郑芝龙,"['登莱兵', '直捣', '福建', '石井', '、', '金门', '等', '地', '，', '郑芝龙', '没', '了', '老巢', '，', '没', '了', '海贸', '的', '收入', '来源', '，', '必然', '会', '衰败', '下去', '。']",军阀治世.txt
Ns,Ns,"(18, 19)","(20, 21)",太平洋,大西洋,"['这种', '船只', '在历史上', '，', '曾一度', '十分', '广泛', '的', '用于', '运输', '鸦片', '、', '茶叶', '，', '并', '频繁', '的', '在', '太平洋', '、', '大西洋', '穿梭', '。']",军阀治世.txt
Nh,Ni,"(0, 2)","(3, 7)",范德文,荷兰巴达维亚公司,"['范', '德文', '是', '荷兰', '巴', '达维亚', '公司', '的', '舰队', '长官', '之一', '，', '前不久', '他', '接到', '台湾', '总督', '普特曼', '比旧', '的', '命令', '，', '带领', '四艘', '军舰', '护送', '船队', '前往', '日本', '进行', '贸易', '。']",军阀治世.txt
Ns,Nh,"(15, 16)","(17, 18)",台湾,普特曼,"['范', '德文', '是', '荷兰', '巴', '达维亚', '公司', '的', '舰队', '长官', '之一', '，', '前不久', '他', '接到', '台湾', '总督', '普特曼', '比旧', '的', '命令', '，', '带领', '四艘', '军舰', '护送', '船队', '前往', '日本', '进行', '贸易', '。']",军阀治世.txt
Nh,Ns,"(1, 2)","(5, 6)",郑一官,中国,"['后来', '郑一官', '却', '成', '了', '中国', '的', '将军', '，', '对', '公司', '的', '利益', '造成', '了', '巨大', '的', '冲击', '，', '去年', '他们', '的', '买办', '人', '刘香', '也', '被', '郑一官', '剿灭', '，', '为此', '公司', '不得不', '与', '郑一官', '合作', '。']",军阀治世.txt
Nh,Nh,"(24, 25)","(27, 28)",刘香,郑一官,"['后来', '郑一官', '却', '成', '了', '中国', '的', '将军', '，', '对', '公司', '的', '利益', '造成', '了', '巨大', '的', '冲击', '，', '去年', '他们', '的', '买办', '人', '刘香', '也', '被', '郑一官', '剿灭', '，', '为此', '公司', '不得不', '与', '郑一官', '合作', '。']",军阀治世.txt
Nh,Nh,"(27, 28)","(34, 35)",郑一官,郑一官,"['后来', '郑一官', '却', '成', '了', '中国', '的', '将军', '，', '对', '公司', '的', '利益', '造成', '了', '巨大', '的', '冲击', '，', '去年', '他们', '的', '买办', '人', '刘香', '也', '被', '郑一官', '剿灭', '，', '为此', '公司', '不得不', '与', '郑一官', '合作', '。']",军阀治世.txt
Nh,Ns,"(1, 2)","(5, 6)",郑芝龙,中国,"['由', '郑芝龙', '帮', '其', '买办', '中国', '商品', '。']",军阀治世.txt
Ns,Nh,"(11, 12)","(14, 15)",日本,郑一官,"['按照', '协议', '，', '郑一官', '的', '货物', '应该', '由', '公司', '转运', '到', '日本', '，', '但', '郑一官', '并', '没有', '遵守', '这个', '协议', '，', '反而', '派出', '海盗', '四处', '拦截', '他们', '前往', '日本', '的', '商船', '，', '同时', '还', '在', '不断', '的', '往', '日本', '派遣', '商船', '。']",军阀治世.txt
Nh,Nh,"(0, 2)","(7, 8)",范德文,郑一官,"['范', '德文', '在', '路上', '的确', '遇到', '了', '郑一官', '的', '武装', '船只', '，', '但', '见到', '他们', '这个', '庞大', '的', '船队', '都', '不敢', '冒犯', '，', '路上', '十分', '平静', '的', '行驶', '了', '三天', '。']",军阀治世.txt
Nh,Ns,"(0, 2)","(3, 4)",苏步恒,荷兰,"['苏步', '恒', '与', '荷兰', '船队', '在', '西太平洋', '相遇', '”']",军阀治世.txt
Nh,Ns,"(0, 2)","(6, 7)",苏步恒,西太平洋,"['苏步', '恒', '与', '荷兰', '船队', '在', '西太平洋', '相遇', '”']",军阀治世.txt
Ns,Ns,"(3, 4)","(6, 7)",荷兰,西太平洋,"['苏步', '恒', '与', '荷兰', '船队', '在', '西太平洋', '相遇', '”']",军阀治世.txt
Nh,Nh,"(0, 1)","(6, 7)",范,毫丹,"['范', '德文', '“', '占大', '的', '，', '毫丹', '戒备', '的', '指挥', '着', '战舰', '朝着', '第一', '舰队', '的', '二艘', '巩地', '策汹', '，', '孰', '不知', '却是', '羊入虎口', '，', '双方', '相距', '一', '千米', '的', '时刻', '，', '第一', '舰队', '突然', '将', '隐藏', '在', '船舱', '内', '的', '火炮', '推', '了', '出来', '。']",军阀治世.txt
Ns,Ns,"(0, 1)","(3, 5)",澎湖,福建海军,"['澎湖', '之战', '，', '福建', '海军', '围攻', '八月', '不下', '澎湖', '，', '让', '荷兰人', '信心', '爆棚', '。']",军阀治世.txt
Ns,Ns,"(3, 5)","(8, 9)",福建海军,澎湖,"['澎湖', '之战', '，', '福建', '海军', '围攻', '八月', '不下', '澎湖', '，', '让', '荷兰人', '信心', '爆棚', '。']",军阀治世.txt
Ni,Ns,"(24, 27)","(32, 33)",巴达维亚号,六枚,"['接连', '三百', '枚', '火箭', '不断', '升空', '，', '很快', '荷兰', '的', '四艘', '战舰', '和', '五艘', '武装', '商船', '被', '命中', '了', '小半', '，', '最惨', '的', '就是', '巴', '达维亚', '号', '，', '直接', '被', '命中', '了', '六枚', '。']",军阀治世.txt
Nh,Nh,"(3, 4)","(5, 6)",岳飞,戚继光,"['另外', '两艘', '战舰', '岳飞', '号', '戚继光', '号', '。']",军阀治世.txt
Ns,Nh,"(3, 6)","(7, 8)",拉斯威克号,戚继光,"['俘虏', '的', '勃', '拉斯', '威克', '号', '被', '戚继光', '号', '打', '瘫', '，', '并未', '参加', '主要', '的', '炮战', '，', '所以', '船体', '保存', '最为', '完好', '，', '只要', '修复', '一下', '桅杆', '就', '能', '直接', '投入使用', '。']",军阀治世.txt
Ni,Ni,"(7, 10)","(16, 19)",巴达维亚号,佩德摩斯号,"['船体', '破损', '最为', '严重', '的', '则', '是', '巴', '达维亚', '号', '，', '被', '打', '得', '伤痕累累', '，', '佩德', '摩斯', '号', '也', '情况', '较之', '好', '一些', '，', '不过', '这', '两艘', '船', '都', '得', '进', '船坞', '修理', '一段时间', '才能', '使用', '。']",军阀治世.txt
Ns,Ns,"(18, 19)","(25, 26)",青岛,青岛,"['赵岩', '随即', '让', '舰队', '带上', '俘虏', '船只', '返回', '龙口', '港', '的', '船坞', '维修', '，', '并', '派', '人', '在', '青岛', '加紧', '建造', '船坞', '，', '毕竟', '从', '青岛', '到', '龙口', '，', '还', '得', '绕', '上', '一圈', '，', '得花', '上', '两天', '时间', '。']",军阀治世.txt
Ns,Ns,"(25, 26)","(27, 28)",青岛,龙口,"['赵岩', '随即', '让', '舰队', '带上', '俘虏', '船只', '返回', '龙口', '港', '的', '船坞', '维修', '，', '并', '派', '人', '在', '青岛', '加紧', '建造', '船坞', '，', '毕竟', '从', '青岛', '到', '龙口', '，', '还', '得', '绕', '上', '一圈', '，', '得花', '上', '两天', '时间', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(2, 3)",苏步,赵岩,"['苏步', '恒想', '赵岩', '报告', '了', '追击', '的', '过程', '。']",军阀治世.txt
Ns,Ns,"(39, 40)","(43, 44)",日本,日本,"['接着', '商行', '的', '人员', '和', '精通', '海贸', '的', '文邦良', '对', '俘获', '的', '货物', '再次', '进行', '价值', '评估', '，', '文邦良', '上上下下', '把', '这些', '货物', '清点', '了', '一遍', '，', '最终', '得出', '一个', '让', '人', '咋舌', '的', '数字', '，', '这些', '货物', '运到', '日本', '，', '再', '从', '日本', '运回', '货物', '销售', '，', '起码', '能', '翻到', '六七百', '万两', '。']",军阀治世.txt
Ni,Ns,"(14, 17)","(18, 19)",三艘荷兰军舰,六艘,"['赵岩', '也', '未', '想到', '，', '只是', '一次', '尝试性', '的', '出动', '，', '就', '截获', '了', '三艘', '荷兰', '军舰', '和', '六艘', '商船', '，', '此番', '有', '了', '船只', '，', '海军', '又', '得', '扩建', '了', '。']",军阀治世.txt
Nh,Ns,"(11, 12)","(17, 18)",赵岩,日,"['不过', '这次', '俘虏', '的', '商船', '用来', '运', '棉花', '显然', '大材小用', '，', '赵岩', '觉得', '是', '时候', '插足', '对', '日', '贸易', '了', '。']",军阀治世.txt
Ni,Nh,"(0, 3)","(8, 9)",巴达维亚号,赵岩,"['巴', '达维亚', '号', '还', '停', '在', '外面', '，', '赵岩', '问道', '：', '“', '怎么', '不', '拖', '去', '修理', '？', '”']",军阀治世.txt
Nh,Ni,"(0, 1)","(3, 6)",赵岩,巴达维亚号,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ni,Ns,"(3, 6)","(8, 9)",巴达维亚号,上海,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ni,Ni,"(3, 6)","(11, 14)",巴达维亚号,佩德摩斯号,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ns,Ni,"(8, 9)","(11, 14)",上海,佩德摩斯号,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ni,Ns,"(11, 14)","(16, 17)",佩德摩斯号,青岛,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ni,Nh,"(11, 14)","(19, 20)",佩德摩斯号,艘,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ns,Nh,"(16, 17)","(19, 20)",青岛,艘,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ns,Ns,"(16, 17)","(21, 22)",青岛,拉斯,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Nh,Ns,"(19, 20)","(21, 22)",艘,拉斯,"['赵岩', '接着', '将', '巴', '达维亚', '号', '命名', '为', '上海', '号', '，', '佩德', '摩斯', '号', '命名', '为', '青岛', '号', '，', '艘', '勃', '拉斯', '威克', '号', '命名', '为龙', '口号', '。']",军阀治世.txt
Ns,Nh,"(13, 14)","(15, 16)",台湾,普特曼,"['接着', '赵岩', '让', '人放', '了', '一个', '荷兰人', '回去', '，', '并且', '给', '他们', '的', '台湾', '总督', '普特曼', '。']",军阀治世.txt
Nh,Nh,"(4, 5)","(9, 10)",赵岩,赵岩,"['荷兰人', '自然', '不会', '按照', '赵岩', '说', '的', '办', '，', '赵岩', '只不过', '是', '变相', '的', '向', '他们', '宣战', '，', '反正', '以后', '碰见', '你们', '就', '不', '客气', '了', '，', '该', '抢', '的', '船', '绝对', '不会', '手软', '。']",军阀治世.txt
Ns,Ns,"(23, 26)","(26, 27)",日本德川幕府,德,"['当前', '重要', '的', '还是', '把', '那批', '抢来', '的', '货物', '处理', '掉', '，', '赵岩', '随即', '又', '写', '了', '一封信', '，', '这', '封信', '是', '给', '日本', '德川', '幕府', '德', '川家光', '的', '。']",军阀治世.txt
Ns,Ns,"(25, 26)","(31, 32)",长崎,德川,"['不过', '德', '”', '幕府', '未必', '是', '处于', '保护', '农村', '自然经济', '的', '考虑', '，', '否则', '他们', '也', '不会', '在', '闭关锁国', '的', '期间', '，', '却', '唯独', '在', '长崎', '开设', '贸易', '港口', '，', '以', '德川', '幕府', '垒断', '的', '形式', '进行', '贸易', '，', '他们', '主要', '的', '目的', '应该', '是', '巩固', '统治', '地个', '。']",军阀治世.txt
Ns,Nh,"(20, 21)","(22, 23)",长崎,文邦良,"['这', '封信', '写', '好', '后', '，', '随即', '让', '文邦良', '乘坐', '飞剪', '船', '，', '在', '一百名', '士兵', '的', '保护', '下', '前往', '长崎', '，', '文邦良', '对', '日本', '的', '环境', '是', '十分', '熟悉', '的', '，', '在', '跟随', '颜思齐', '期间', '，', '曾', '在', '日本', '待过', '一段时间', '。']",军阀治世.txt
Ns,Ns,"(20, 21)","(24, 25)",长崎,日本,"['这', '封信', '写', '好', '后', '，', '随即', '让', '文邦良', '乘坐', '飞剪', '船', '，', '在', '一百名', '士兵', '的', '保护', '下', '前往', '长崎', '，', '文邦良', '对', '日本', '的', '环境', '是', '十分', '熟悉', '的', '，', '在', '跟随', '颜思齐', '期间', '，', '曾', '在', '日本', '待过', '一段时间', '。']",军阀治世.txt
Nh,Ns,"(22, 23)","(24, 25)",文邦良,日本,"['这', '封信', '写', '好', '后', '，', '随即', '让', '文邦良', '乘坐', '飞剪', '船', '，', '在', '一百名', '士兵', '的', '保护', '下', '前往', '长崎', '，', '文邦良', '对', '日本', '的', '环境', '是', '十分', '熟悉', '的', '，', '在', '跟随', '颜思齐', '期间', '，', '曾', '在', '日本', '待过', '一段时间', '。']",军阀治世.txt
Nh,Ns,"(34, 35)","(39, 40)",颜思齐,日本,"['这', '封信', '写', '好', '后', '，', '随即', '让', '文邦良', '乘坐', '飞剪', '船', '，', '在', '一百名', '士兵', '的', '保护', '下', '前往', '长崎', '，', '文邦良', '对', '日本', '的', '环境', '是', '十分', '熟悉', '的', '，', '在', '跟随', '颜思齐', '期间', '，', '曾', '在', '日本', '待过', '一段时间', '。']",军阀治世.txt
Ns,Ns,"(5, 6)","(12, 13)",长崎,长崎,"['不', '熟悉', '也', '不要紧', '，', '长崎', '的', '明人', '多得是', '，', '并', '在', '长崎', '形成', '了', '“', '唐市', '”', '人数', '达到', '两万多', '人', '。']",军阀治世.txt
Ns,Ns,"(12, 13)","(16, 17)",长崎,唐市,"['不', '熟悉', '也', '不要紧', '，', '长崎', '的', '明人', '多得是', '，', '并', '在', '长崎', '形成', '了', '“', '唐市', '”', '人数', '达到', '两万多', '人', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(4, 5)",文邦良,赵岩,"['文邦良', '出发', '后', '，', '赵岩', '随即', '让', '第一', '舰队', '做好', '护航', '准备', '，', '同时', '开始', '让', '赵全', '组建', '前往', '日本', '的', '船队', '。']",军阀治世.txt
Nh,Ns,"(16, 17)","(19, 20)",赵全,日本,"['文邦良', '出发', '后', '，', '赵岩', '随即', '让', '第一', '舰队', '做好', '护航', '准备', '，', '同时', '开始', '让', '赵全', '组建', '前往', '日本', '的', '船队', '。']",军阀治世.txt
Nh,Ni,"(0, 1)","(6, 8)",赵岩,龙口港,"['赵岩', '处理', '完', '这些', '就', '从', '龙口', '港', '返回', '了', '赵家堡', '，', '今年', '的', '冬小麦', '已经', '成熟', '，', '去年', '开垦', '的', '三百', '万亩', '农田', '，', '一半', '种上', '了', '小麦', '。']",军阀治世.txt
Ni,Nh,"(6, 8)","(10, 11)",龙口港,赵家堡,"['赵岩', '处理', '完', '这些', '就', '从', '龙口', '港', '返回', '了', '赵家堡', '，', '今年', '的', '冬小麦', '已经', '成熟', '，', '去年', '开垦', '的', '三百', '万亩', '农田', '，', '一半', '种上', '了', '小麦', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(3, 4)",唐正泽,赵岩,"['唐正泽', '很快', '给', '赵岩', '呈', '上', '了', '今年', '夏收', '的', '成果', '。']",军阀治世.txt
Ns,Ns,"(34, 35)","(40, 41)",颍州,邯郸,"['“', '山东', '这边', '又', '招到', '了', '巫万', '流民', '，', '正在', '莱州', '屯垦', '，', '这些', '人', '也', '不能', '全吃红著', '，', '否则', '青壮', '的', '体质', '达', '不到', '标准', '，', '最多', '也', '就', '消耗掉', '一', '亿斤', '，', '颍州', '那边', '的', '流民', '妈万', '，', '邯郸', '强万', '，', '两', '亿斤', '顶天', '。', '”']",军阀治世.txt
Nh,Ns,"(0, 1)","(3, 5)",李自成,甘肃中州,"['李自成', '部', '围攻', '甘肃', '中州', '（', '今牛县', '）', '。']",军阀治世.txt
Nh,Ns,"(0, 1)","(6, 7)",李自成,今牛县,"['李自成', '部', '围攻', '甘肃', '中州', '（', '今牛县', '）', '。']",军阀治世.txt
Ns,Ns,"(3, 5)","(6, 7)",甘肃中州,今牛县,"['李自成', '部', '围攻', '甘肃', '中州', '（', '今牛县', '）', '。']",军阀治世.txt
Nh,Ns,"(2, 3)","(7, 8)",艾万,柳国镇,"['副', '总兵', '艾万', '牵', '，', '引城功', '、', '柳国镇', '、', '游击', '王锡命', '奉命', '引兵', '三千', '往援', '，', '双方', '交战', '于', '宁州', '襄乐镇', '。']",军阀治世.txt
Ns,Nh,"(7, 8)","(10, 11)",柳国镇,王锡命,"['副', '总兵', '艾万', '牵', '，', '引城功', '、', '柳国镇', '、', '游击', '王锡命', '奉命', '引兵', '三千', '往援', '，', '双方', '交战', '于', '宁州', '襄乐镇', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(3, 4)",刘,王锡命,"['刘', '成功', '、', '王锡命', '身负重伤', '，', '领着', '残兵', '败', '卒', '突围', '逃走', '。']",军阀治世.txt
Ns,Nh,"(3, 4)","(9, 10)",柳国镇,曹文诏,"['艾', '万年', '、', '柳国镇', '兵败', '身死', '的', '消息', '传到', '曹文诏', '耳里', '，', '曹文诏', '睹', '目大骂', '，', '拔刀', '砍', '地', '，', '向', '洪承畴', '请命', '死战', '流贼', '。']",军阀治世.txt
Nh,Nh,"(9, 10)","(12, 13)",曹文诏,曹文诏,"['艾', '万年', '、', '柳国镇', '兵败', '身死', '的', '消息', '传到', '曹文诏', '耳里', '，', '曹文诏', '睹', '目大骂', '，', '拔刀', '砍', '地', '，', '向', '洪承畴', '请命', '死战', '流贼', '。']",军阀治世.txt
Nh,Ns,"(0, 1)","(6, 7)",曹文诏,甘肃,"['曹文诏', '带', '着', '三千', '部卒', '向', '甘肃', '进发', '，', '在', '真宁', '（', '今', '正宁', '）', '县境', '的', '状头', '镇同', '流贼', '相遇', '。']",军阀治世.txt
Ns,Ns,"(6, 7)","(10, 11)",甘肃,真宁,"['曹文诏', '带', '着', '三千', '部卒', '向', '甘肃', '进发', '，', '在', '真宁', '（', '今', '正宁', '）', '县境', '的', '状头', '镇同', '流贼', '相遇', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(4, 5)",李自成,曹文诏,"['李自成', '所部', '看准', '了', '曹文诏', '轻敌', '寡谋', '的', '特点', '，', '采取', '诱敌深入', '的', '战术', '，', '“', '伏', '数万', '骑', '，', '四起', '合围', '，', '飞矢', '帽集', '。', '”']",军阀治世.txt
Nh,Ns,"(0, 1)","(4, 5)",李自成,陕西,"['李自成', '等部', '流贼', '在', '陕西', '连续', '取得', '重大胜利', '，', '给', '总督', '洪承畴', '所部', '官军', '以', '沉重', '的', '打击', '，', '一时间', '贼', '势大盛', '。']",军阀治世.txt
Nh,Ns,"(3, 4)","(7, 8)",李自成,陕西,"['因此', '，', '除了', '李自成', '所部', '还', '留在', '陕西', '外', '，', '闯王', '高迎祥', '、', '老回', '回', '马守应', '、', '八大', '王', '张献忠', '、', '一字王', '、', '撞', '天王', '等部', '几十万', '人', '又', '东出', '潢关', '，', '向', '河南', '进发', '。']",军阀治世.txt
Ns,Nh,"(7, 8)","(11, 12)",陕西,高迎祥,"['因此', '，', '除了', '李自成', '所部', '还', '留在', '陕西', '外', '，', '闯王', '高迎祥', '、', '老回', '回', '马守应', '、', '八大', '王', '张献忠', '、', '一字王', '、', '撞', '天王', '等部', '几十万', '人', '又', '东出', '潢关', '，', '向', '河南', '进发', '。']",军阀治世.txt
Nh,Nh,"(11, 12)","(17, 20)",高迎祥,八大王张献忠,"['因此', '，', '除了', '李自成', '所部', '还', '留在', '陕西', '外', '，', '闯王', '高迎祥', '、', '老回', '回', '马守应', '、', '八大', '王', '张献忠', '、', '一字王', '、', '撞', '天王', '等部', '几十万', '人', '又', '东出', '潢关', '，', '向', '河南', '进发', '。']",军阀治世.txt
Nh,Nh,"(17, 20)","(21, 22)",八大王张献忠,一字王,"['因此', '，', '除了', '李自成', '所部', '还', '留在', '陕西', '外', '，', '闯王', '高迎祥', '、', '老回', '回', '马守应', '、', '八大', '王', '张献忠', '、', '一字王', '、', '撞', '天王', '等部', '几十万', '人', '又', '东出', '潢关', '，', '向', '河南', '进发', '。']",军阀治世.txt
Ns,Ns,"(0, 1)","(4, 5)",辽东,辽东,"['辽东', '骑兵', '虽然', '在', '辽东', '败仗', '连连', '，', '但', '长期', '面对', '满清', '的', '兵锋', '，', '且', '是', '朝廷', '花费', '了', '最', '多', '钱粮', '打造', '出来', '的', '王牌军', '，', '在', '这', '大明', '腹地', '作战', '，', '却', '感觉', '无比', '轻松', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(2, 3)",祖宽,刘,"['祖宽', '与', '刘', '重镇', '正', '说话', '间', '，', '那支', '四千人', '的', '骑兵', '已经', '接触', '到', '了', '流贼', '的', '前锋', '部队', '，', '流贼', '的', '前锋', '部队', '是', '一支', '五千', '人', '组成', '的', '精锐', '骑兵', '，', '马是', '好', '马', '，', '人', '是', '精壮', '。']",军阀治世.txt
Nh,Nh,"(8, 9)","(13, 14)",林毅,吴永亮,"['那支', '袭击', '了', '流贼', '的', '官军', '，', '正是', '林毅', '的', '第一', '营', '与', '吴永亮', '的', '第二', '营', '，', '十天', '前', '赵岩', '命令', '他们', '赶往', '河南', '迎击', '东进', '流贼', '。']",军阀治世.txt
Nh,Nh,"(13, 14)","(20, 21)",吴永亮,赵岩,"['那支', '袭击', '了', '流贼', '的', '官军', '，', '正是', '林毅', '的', '第一', '营', '与', '吴永亮', '的', '第二', '营', '，', '十天', '前', '赵岩', '命令', '他们', '赶往', '河南', '迎击', '东进', '流贼', '。']",军阀治世.txt
